Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
LUV,Southwest Airlines Company,57.78,$30.41B,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/luv,
SWX,"Southwest Gas Holdings, Inc.",75.93,$4.15B,,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/swx,
SWN,Southwestern Energy Company,1.97,$1.07B,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/swn,
SPE,Special Opportunities Fund Inc.,14.26,$121.22M,,,,https://old.nasdaq.com/symbol/spe,
SR,Spire Inc.,80.35,$4.08B,,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/sr,
SPR,"Spirit Aerosystems Holdings, Inc.",91.71,$9.49B,2006.0,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/spr,
SAVE,"Spirit Airlines, Inc.",37.91,$2.59B,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/save,
SRC,"Spirit Realty Capital, Inc.",51.04,$4.6B,2013.0,Consumer Services,Building operators,https://old.nasdaq.com/symbol/src,
SPOT,Spotify Technology S.A.,140.26,$24.49B,2018.0,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/spot,
SRLP,Sprague Resources LP,16.5,$375.34M,2013.0,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/srlp,
SPXC,SPX Corporation,47.38,$2.09B,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/spxc,
FLOW,"SPX FLOW, Inc.",46.04,$1.96B,2015.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/flow,
SQ,"Square, Inc.",65.74,$28.25B,2015.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sq,
JOE,St. Joe Company (The),18.22,$1.08B,,Consumer Services,Homebuilding,https://old.nasdaq.com/symbol/joe,
STAG,"Stag Industrial, Inc.",31.08,$4.13B,2011.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/stag,
SMP,"Standard Motor Products, Inc.",51.81,$1.16B,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/smp,
SXI,Standex International Corporation,74.25,$923.66M,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/sxi,
SWK,"Stanley Black & Decker, Inc.",156.11,$23.73B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/swk,
SWT,"Stanley Black & Decker, Inc.",101.4999,,2019.0,,,https://old.nasdaq.com/symbol/swt,
STN,Stantec Inc,26.25,$2.92B,,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/stn,
SGU,"Star Group, L.P.",9.37,$450.52M,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/sgu,
SRT,"StarTek, Inc.",7.7,$296.14M,1997.0,Technology,Professional Services,https://old.nasdaq.com/symbol/srt,
