CIK,Company_Names,Form_Type,Date_Filed,Filename,year,quarter
320193,APPLE INC,4,2014-03-05,"edgar/data/320193/0001181431-14-011156.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-05,"edgar/data/320193/0001181431-14-011157.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-05,"edgar/data/320193/0001181431-14-011158.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-05,"edgar/data/320193/0001181431-14-011159.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-05,"edgar/data/320193/0001181431-14-011160.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-05,"edgar/data/320193/0001181431-14-011161.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-06,"edgar/data/320193/0001181431-14-011331.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-11,"edgar/data/320193/0001181431-14-012193.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-18,"edgar/data/320193/0001181431-14-013269.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-31,"edgar/data/320193/0001181431-14-014578.txt
",2014,QTR1
320193,APPLE INC,8-K,2014-01-27,"edgar/data/320193/0001193125-14-022238.txt
",2014,QTR1
320193,APPLE INC,8-K,2014-03-05,"edgar/data/320193/0001193125-14-084697.txt
",2014,QTR1
320193,APPLE INC,DEF 14A,2014-01-10,"edgar/data/320193/0001193125-14-008074.txt
",2014,QTR1
320193,APPLE INC,DEFA14A,2014-01-10,"edgar/data/320193/0001193125-14-008086.txt
",2014,QTR1
320193,APPLE INC,NO ACT,2014-01-08,"edgar/data/320193/9999999997-14-000591.txt
",2014,QTR1
320193,APPLE INC,PX14A6G,2014-01-23,"edgar/data/320193/0000928464-14-000003.txt
",2014,QTR1
320193,APPLE INC,PX14A6G,2014-01-28,"edgar/data/320193/0000928464-14-000006.txt
",2014,QTR1
320193,APPLE INC,PX14A6G,2014-02-07,"edgar/data/320193/0000928464-14-000008.txt
",2014,QTR1
320193,APPLE INC,PX14A6G,2014-02-07,"edgar/data/320193/0000928464-14-000010.txt
",2014,QTR1
320193,APPLE INC,PX14A6G,2014-02-10,"edgar/data/320193/0000928464-14-000013.txt
",2014,QTR1
320193,APPLE INC,PX14A6G,2014-02-10,"edgar/data/320193/0001214659-14-001019.txt
",2014,QTR1
320193,APPLE INC,S-8,2014-01-31,"edgar/data/320193/0001193125-14-031119.txt
",2014,QTR1
320193,APPLE INC,SC 13G/A,2014-01-28,"edgar/data/320193/0001086364-14-000386.txt
",2014,QTR1
320193,APPLE INC,10-Q,2014-04-24,"edgar/data/320193/0001193125-14-157311.txt
",2014,QTR2
320193,APPLE INC,3,2014-05-05,"edgar/data/320193/0001181431-14-017959.txt
",2014,QTR2
320193,APPLE INC,424B2,2014-04-29,"edgar/data/320193/0001193125-14-164929.txt
",2014,QTR2
320193,APPLE INC,424B2,2014-04-30,"edgar/data/320193/0001193125-14-172859.txt
",2014,QTR2
320193,APPLE INC,4,2014-04-17,"edgar/data/320193/0001181431-14-016471.txt
",2014,QTR2
320193,APPLE INC,4,2014-04-17,"edgar/data/320193/0001181431-14-016472.txt
",2014,QTR2
320193,APPLE INC,4,2014-04-17,"edgar/data/320193/0001181431-14-016473.txt
",2014,QTR2
320193,APPLE INC,4,2014-04-24,"edgar/data/320193/0001181431-14-016878.txt
",2014,QTR2
320193,APPLE INC,4,2014-04-28,"edgar/data/320193/0001181431-14-017038.txt
",2014,QTR2
320193,APPLE INC,4,2014-05-05,"edgar/data/320193/0001181431-14-017960.txt
",2014,QTR2
320193,APPLE INC,4,2014-05-30,"edgar/data/320193/0001181431-14-021967.txt
",2014,QTR2
320193,APPLE INC,4,2014-05-30,"edgar/data/320193/0001181431-14-021968.txt
",2014,QTR2
320193,APPLE INC,4,2014-06-03,"edgar/data/320193/0001181431-14-022493.txt
",2014,QTR2
320193,APPLE INC,4,2014-06-03,"edgar/data/320193/0001181431-14-022494.txt
",2014,QTR2
320193,APPLE INC,4,2014-06-26,"edgar/data/320193/0001181431-14-025088.txt
",2014,QTR2
320193,APPLE INC,8-K,2014-04-23,"edgar/data/320193/0001193125-14-154871.txt
",2014,QTR2
320193,APPLE INC,8-K,2014-04-23,"edgar/data/320193/0001193125-14-154883.txt
",2014,QTR2
320193,APPLE INC,8-K,2014-05-06,"edgar/data/320193/0001193125-14-184969.txt
",2014,QTR2
320193,APPLE INC,8-K,2014-05-30,"edgar/data/320193/0001181431-14-021923.txt
",2014,QTR2
320193,APPLE INC,8-K,2014-06-06,"edgar/data/320193/0001193125-14-228798.txt
",2014,QTR2
320193,APPLE INC,FWP,2014-04-30,"edgar/data/320193/0001193125-14-168389.txt
",2014,QTR2
320193,APPLE INC,S-8,2014-04-25,"edgar/data/320193/0001193125-14-160171.txt
",2014,QTR2
320193,APPLE INC,SD,2014-05-29,"edgar/data/320193/0001193125-14-217311.txt
",2014,QTR2
320193,APPLE INC,10-Q,2014-07-23,"edgar/data/320193/0001193125-14-277160.txt
",2014,QTR3
320193,APPLE INC,3,2014-07-17,"edgar/data/320193/0001181431-14-026991.txt
",2014,QTR3
320193,APPLE INC,4,2014-07-17,"edgar/data/320193/0001181431-14-026992.txt
",2014,QTR3
320193,APPLE INC,4,2014-07-25,"edgar/data/320193/0001181431-14-027428.txt
",2014,QTR3
320193,APPLE INC,4,2014-08-12,"edgar/data/320193/0001181431-14-029015.txt
",2014,QTR3
320193,APPLE INC,4,2014-08-26,"edgar/data/320193/0001181431-14-030218.txt
",2014,QTR3
320193,APPLE INC,4,2014-09-08,"edgar/data/320193/0001181431-14-031565.txt
",2014,QTR3
320193,APPLE INC,4,2014-09-11,"edgar/data/320193/0001181431-14-031782.txt
",2014,QTR3
320193,APPLE INC,4,2014-09-17,"edgar/data/320193/0001181431-14-032241.txt
",2014,QTR3
320193,APPLE INC,4,2014-09-23,"edgar/data/320193/0001181431-14-032540.txt
",2014,QTR3
320193,APPLE INC,4,2014-09-23,"edgar/data/320193/0001181431-14-032541.txt
",2014,QTR3
320193,APPLE INC,4,2014-09-23,"edgar/data/320193/0001181431-14-032542.txt
",2014,QTR3
320193,APPLE INC,4,2014-09-23,"edgar/data/320193/0001181431-14-032543.txt
",2014,QTR3
